Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.020000	0.952329	1.076338	75.763298	73.626373	
0.040000	0.644174	1.268214	81.858849	70.704903	
0.060000	0.558514	1.044285	84.110748	73.974808	
0.080000	0.488320	0.981744	85.813248	75.931381	
0.100000	0.421202	0.725707	87.711182	80.729027	
0.099975	0.351388	0.525868	89.587402	85.714287	
0.099901	0.292630	0.642637	91.107491	82.846420	
0.099778	0.247108	0.712709	92.479912	81.827927	
0.099606	0.232768	0.549817	92.840393	85.097824	
0.099384	0.215545	0.546615	93.404991	86.732780	
0.099114	0.200459	0.551346	93.897934	84.749397	
0.098796	0.193383	0.559484	94.082520	85.687485	
0.098429	0.177653	0.470200	94.547234	87.510048	
0.098015	0.169380	0.644039	94.618889	83.355667	
0.097553	0.161338	0.794342	95.011940	81.399086	
0.097044	0.165250	0.875644	94.842560	79.067276	
0.096489	0.164839	0.623365	94.920738	83.972122	
0.095888	0.149661	0.556049	95.205215	85.499863	
0.095241	0.145297	0.631825	95.457115	84.963814	
0.094550	0.148941	0.488093	95.433228	87.349236	
0.093815	0.129023	0.680292	96.026062	83.275261	
0.093037	0.139706	0.643305	95.613464	82.310371	
0.092216	0.137980	0.801355	95.650383	81.157867	
0.091354	0.130070	0.558412	95.995659	84.534973	
0.090451	0.125157	0.686163	96.095551	82.980431	
0.089508	0.130149	0.531340	95.861023	85.767891	
0.088526	0.114615	0.805925	96.484253	79.254890	
0.087506	0.130141	0.545691	96.078178	85.339050	
0.086448	0.109355	0.842412	96.555916	80.300186	
0.085355	0.116534	0.668226	96.306190	82.497986	
0.084227	0.103237	0.649280	96.812164	83.596893	
0.083066	0.105683	0.481867	96.701408	87.349236	
0.081871	0.104340	0.649514	96.820847	83.811310	
0.080645	0.103585	0.604430	96.801300	85.205040	
0.079389	0.095335	0.490411	97.072746	87.108009	
0.078104	0.105949	0.680092	96.753532	83.275261	
0.076791	0.098574	0.697698	96.890335	82.497986	
0.075452	0.079513	0.570983	97.619980	86.009109	
0.074088	0.098883	0.593182	96.957657	84.883408	
0.072700	0.076569	0.468984	97.724213	87.992493	
0.071289	0.083034	0.481448	97.391968	88.206917	
0.069857	0.085313	0.610717	97.394135	85.553467	
0.068406	0.080385	0.625160	97.565689	84.937012	
0.066937	0.072017	0.619151	97.793701	85.955505	
0.065451	0.057562	0.524622	98.284470	87.885284	
0.063950	0.072762	0.574968	97.811073	85.151436	
0.062434	0.077407	0.637661	97.617805	83.596893	
0.060907	0.068825	0.623479	97.915306	84.400963	
0.059369	0.064046	0.455804	98.045601	88.582146	
0.057822	0.051199	0.597686	98.510315	86.035912	
0.056267	0.046787	0.452881	98.668839	88.180115	
0.054705	0.052236	0.562027	98.525513	86.464752	
0.053140	0.049596	0.576476	98.586319	86.598763	
0.051571	0.043816	0.436658	98.764389	88.930580	
0.050000	0.042051	0.428482	98.773071	89.279015	
0.048429	0.028072	0.439168	99.237785	89.654243	
0.046860	0.038068	0.441685	98.912048	88.742966	
0.045295	0.030880	0.640056	99.153091	85.580269	
0.043733	0.031658	0.460308	99.116180	88.421333	
0.042178	0.032011	0.564190	99.059715	85.928703	
0.040631	0.029510	0.452360	99.187836	89.413025	
0.039093	0.021459	0.471103	99.463623	87.697670	
0.037566	0.022961	0.401507	99.365906	89.734657	
0.036050	0.018224	0.404888	99.517914	89.975876	
0.034549	0.015070	0.305351	99.615639	92.441704	
0.033063	0.007149	0.336334	99.817589	91.771645	
0.031594	0.005194	0.331308	99.861023	92.093269	
0.030143	0.004104	0.302566	99.869705	92.629318	
0.028711	0.003161	0.278153	99.906624	93.245781	
0.027300	0.003510	0.310276	99.882736	92.522110	
0.025912	0.003426	0.282060	99.904449	93.192169	
0.024548	0.002804	0.267037	99.915306	93.379791	
0.023209	0.002693	0.269194	99.908798	93.567406	
0.021896	0.002637	0.273419	99.913139	93.084961	
0.020611	0.002882	0.282415	99.904449	93.192169	
